 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
175,"Estrella Veterinary Hospital, A Thrive Pet Healthcare Partner",(949) 496-6661,26925 Camino De Estrella,Dana Point,92624,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Local Veterinarian Care,(949) 239-7934,34080 Golden Lantern,Dana Point,92629,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Salt & Sea Veterinary Hospital,(949) 444-2244,34249 Pacific Coast Hwy,Dana Point,92629,General Practice,"Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 12:00 AM – 12:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Animal & Bird Hospital of Del Mar,(858) 755-9351,2132 Jimmy Durante Blvd,Del Mar,92014,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Del Mar Heights Veterinary Hospital,(858) 792-3888,2626 Del Mar Heights Rd,Del Mar,92014,General Practice,"Tuesday: 7:30 AM – 5:30 PM
Wednesday: 7:30 AM – 5:30 PM
Thursday: 7:30 AM – 5:30 PM
Friday: 7:30 AM – 5:30 PM
Saturday: 7:30 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Del Mar Veterinary Hospital,(858) 500-1466,3665 Via De La Valle,Del Mar,92014,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Above & Beyond Pet Care Clinic,(562) 862-7788,9640 Firestone Blvd,Downey,90241,General Practice,"Tuesday: 9:00 AM – 3:30 PM
Wednesday: 9:00 AM – 1:00 PM
Thursday: 9:00 AM – 3:30 PM
Friday: 9:00 AM – 3:30 PM
Saturday: 9:00 AM – 12:30 PM
Sunday: 9:00 AM – 12:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Ashton Animal Hospital,(562) 803-1551,12355 Woodruff Ave #5635,Downey,90241,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Downey Veterinary Hospital,(562) 923-0763,11220 Brookshire Ave,Downey,90241,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Firestone Animal Hospital,(562) 928-1341,7539 Firestone Blvd,Downey,90241,General Practice,"Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Grace Animal Hospital | Downey,(562) 786-6690,9990 Lakewood Blvd,Downey,90240,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Los Angeles County Veterinary,(562) 401-7088,7601 Imperial Hwy. # 500,Downey,90242,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Thomas Veterinary Hospital,(562) 923-9497,11548 Downey Ave,Downey,90241,General Practice,"Tuesday: 9:00 AM – 4:00 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 9:00 AM – 4:00 PM
Saturday: 9:00 AM – 4:00 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Eastvale Veterinary Hospital,(951) 763-8800,12672 Limonite Ave STE 3A,Eastvale,92880,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Ontario Ranch Pet Clinic,(909) 313-0226,14097 Limonite Ave,Eastvale,92880,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,All God's Creatures Animal Hospital,(619) 489-3339,616 Broadway,El Cajon,92021,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Animal Care Clinic: Castillo Cristina DVM,(619) 670-8700,2650 Jamacha Rd # 159,El Cajon,92019,General Practice,"Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Bastet Veterinary Hospital,(619) 442-5571,1682 Greenfield Dr,El Cajon,92021,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"Care & Comfort Veterinary Hospital, A Thrive Pet Healthcare Partner",(619) 590-6160,522 E Chase Ave,El Cajon,92020,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,East County Large and Small Animal Practice,(619) 561-4661,10312 Quail Canyon Rd,El Cajon,92021,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,El Cajon Valley Veterinary Hospital,(619) 444-9491,560 N Johnson Ave,El Cajon,92020,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Judy Veterinary Clinic,(619) 449-3500,1764 N 2nd St,El Cajon,92021,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Singing Hills Animal Hospital,(619) 441-5850,1951 Willow Glen Dr,El Cajon,92019,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,VCA Animal Medical Center of El Cajon,(619) 444-4246,600 Broadway,El Cajon,92021,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 7:00 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,VCA Rancho San Diego Animal Hospital,(619) 660-6767,2988 Jamacha Rd,El Cajon,92019,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Garvey Pet Hospital,(626) 448-6430,11149 Garvey Ave,El Monte,91733,General Practice,"Wednesday: 9:00 AM – 1:30 PM
Thursday: 9:00 AM – 1:30 PM
Friday: 9:00 AM – 1:30 PM
Saturday: 9:00 AM – 1:30 PM
Sunday: 9:00 AM – 12:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Vaccine Vets @ Fletcher Park,null,3404 Fletcher Park Way,El Monte,91731,General Practice,Sunday: 12:00 PM – 1:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,El Segundo Animal Hospital,(310) 606-8811,240 Center St,El Segundo,90245,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,All Pets Animal Hospital,(760) 634-2022,149 S El Camino Real,Encinitas,92024,General Practice,"Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM
Sunday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Anicira Veterinary Center of San Diego,(760) 290-4955,285 N El Camino Real Suite 205,Encinitas,92024,General Practice,"Tuesday: 7:00 AM – 5:00 PM
Wednesday: 7:00 AM – 5:00 PM
Thursday: 7:00 AM – 5:00 PM
Friday: 7:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Cardiff Animal Hospital,(760) 436-3215,2159 San Elijo Ave,Encinitas,92007,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Companion Pet Care,(760) 942-1220,222 N Coast Hwy 101,Encinitas,92024,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Encinitas Animal Hospital,(760) 436-1080,380 N El Camino Real,Encinitas,92024,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Equine Veterinary Services,(760) 944-0910,521 Rancho Santa Fe Rd,Encinitas,92024,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Laura Dowd DVM at The Drake Center Encinitas,(760) 456-9556,195 N El Camino Real,Encinitas,92024,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Moonlight Veterinary Center,(760) 652-5002,414 Encinitas Blvd,Encinitas,92024,General Practice,"Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:00 PM
Saturday: 11:00 AM – 9:00 PM
Sunday: 10:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Santa Fe Animal Clinic,(760) 753-6512,301 Santa Fe Dr # A,Encinitas,92024,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,The Drake Center for Veterinary Care,(760) 753-9393,195 N El Camino Real,Encinitas,92024,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 7:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Vet 2 You,(619) 997-9789,"Encinitas, CA 92024, USA",Encinitas,92024,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Companion Animal Health & Rehabilitation Center,(760) 743-2751,320 E 2nd Ave,Escondido,92025,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,El Norte Veterinary Clinic,(760) 432-0400,1014 W El Norte Pkwy,Escondido,92026,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Escondido Hills Animal Hospital,(760) 746-3647,555 W Country Club Ln # G,Escondido,92026,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Escondido Veterinary Emergency,(760) 738-9600,2430 S Escondido Blvd,Escondido,92025,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Harter Veterinary Medical Center,(760) 291-5400,"San Diego Zoo Safari Park, 15500 San Pasqual Valley Rd",Escondido,92027,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Mohnacky Animal Hospitals of Escondido,(760) 480-1934,2250 S Escondido Blvd #105,Escondido,92025,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,North Escondido Animal Hospital,(760) 741-8387,306 W El Norte Pkwy Suite F,Escondido,92026,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,San Diego Affordable Spay and Neuter Clinic,(760) 532-9335,855 E Valley Pkwy,Escondido,92025,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,West Escondido Pet Hospital,(760) 205-9579,"1340 W Valley Pkwy Suites 110, 111 & 112",Escondido,92029,General Practice,"Tuesday: 7:00 AM – 5:00 PM
Wednesday: 7:00 AM – 5:00 PM
Thursday: 7:00 AM – 5:00 PM
Friday: 7:00 AM – 5:00 PM
Saturday: 7:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Fontana Animal Hospital,(909) 355-5600,16153 Foothill Blvd,Fontana,92335,General Practice,"Tuesday: 9:30 AM – 1:30 PM
Tuesday: 3:30 PM – 6:30 PM
Wednesday: 9:30 AM – 1:30 PM
Wednesday: 3:30 PM – 6:30 PM
Thursday: 9:30 AM – 1:30 PM
Thursday: 3:30 PM – 6:30 PM
Friday: 9:30 AM – 1:30 PM
Friday: 3:30 PM – 6:30 PM
Saturday: 9:30 AM – 12:30 PM
Saturday: 3:30 PM – 6:30 PM
Sunday: 10:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"Heritage Animal Hospital, Urgent Care and Surgical Center",(909) 822-8026,7940 Cherry Ave STE 203,Fontana,92336,General Practice,"Monday: 8:00 AM – 2:00 AM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 2:00 AM
Sunday: 8:00 AM – 2:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Humane Animal Hospital,(909) 829-8840,9257 Sierra Ave.,Fontana,92335,General Practice,"Monday: 9:00 AM – 1:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Jurupa Hills Animal Hospital,(909) 333-1565,9714 Sierra Ave. 102 103,Fontana,92335,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Prestige Animal Hospital - North Fontana,(909) 329-2860,16055 Sierra Lakes Pkwy #100,Fontana,92336,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Prestige Animal Hospital - South Fontana,(909) 357-7300,10986 Sierra Ave.,Fontana,92337,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,The PAW Mission Veterinary Hospital,(909) 784-5895,14755 Foothill Blvd,Fontana,92335,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Walnut Village Pet Hospital,(909) 743-8939,17070 Walnut Village Pkwy # D,Fontana,92336,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 1:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Animal Hospital,(714) 962-6621,9525 Garfield Ave UNIT D,Fountain Valley,92708,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 9:00 AM – 3:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Brook-Ellis Pet Hospital,(714) 963-0440,18542 Brookhurst St,Fountain Valley,92708,General Practice,"Tuesday: 7:30 AM – 6:30 PM
Wednesday: 7:30 AM – 6:30 PM
Thursday: 7:30 AM – 6:30 PM
Friday: 7:30 AM – 6:30 PM
Saturday: 7:30 AM – 6:30 PM
Sunday: 8:00 AM – 2:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Brookfield Pet Hospital Plus,(714) 962-1369,9029 Garfield Ave,Fountain Valley,92708,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:30 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Fountain Valley Emergency Pet Hospital,(657) 339-3008,9475 Warner Ave D,Fountain Valley,92708,General Practice,"Tuesday: 6:00 PM – 8:00 AM
Wednesday: 6:00 PM – 8:00 AM
Thursday: 6:00 PM – 8:00 AM
Friday: 6:00 PM – 8:00 AM
Saturday: 6:00 PM – 8:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Mile Square Animal Hospital,(714) 707-6212,11362 Warner Ave STE A,Fountain Valley,92708,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: 7:30 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,VCA West Coast Specialty and Emergency Animal Hospital,(714) 241-9001,18300 Euclid St,Fountain Valley,92708,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Warner Avenue Animal Hospital,(714) 540-5252,8546 Warner Ave,Fountain Valley,92708,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Airport Animal Hospital,(714) 879-4531,2433 W Commonwealth Ave,Fullerton,92833,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Fullerton Hills Pet Clinic,(714) 879-4380,1144 Rosecrans Ave,Fullerton,92833,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Fullerton Pet Clinic,(657) 655-4393,2453 E Chapman Ave,Fullerton,92831,General Practice,"Tuesday: 1:00 PM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 8:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Fullerton Regional Veterinary Hospital,(714) 525-2355,1941 W Commonwealth Ave # A,Fullerton,92833,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Healthy Paws Veterinary Care,(714) 332-0298,1082 E Bastanchury Rd #102,Fullerton,92835,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 9:00 AM – 1:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Jet's Pet Hospital,(714) 449-9390,800 E Commonwealth Ave,Fullerton,92831,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Mobile Veterinary Services, Inc",(714) 801-5063,422 N Euclid St,Fullerton,92832,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Noah's Ark Animal Hospital,(714) 525-2202,422 N Euclid St,Fullerton,92832,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 8:30 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
