NorCal + Central Valley VA Call & Price Log  —  1067 Vets  |  One row per vet. Fill in prices for each service collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP(cat)
($)","FeLV(cat)
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
208,Sunshine Veterinary Care,(909) 366-3724,20935 Golden Springs Dr,Diamond Bar,91789,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $65,EXACT $29,EXACT $32,EXACT $25,,,EXACT $34,EXACT $33,EXACT $32,,,STARTING $595,STARTING $460,STARTING $700,STARTING $700,,,,Appointments Only,EXACT $65,,,
209,Discovery Bay Veterinary Clinic,(925) 634-0759,14810 CA-4 Suite A,Discovery Bay,94505,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",Called - Got Prices,,Yes,Yes,,,EXACT $83,No technician Fee,EXACT 46,EXACT $79,,,EXACT $61,EXACT $45,EXACT $50,,,STARTING $760,STARTING $760,STARTING $1000,STARTING $1000,,,,Appointments Only,EXACT $93,,,
210,Aggie Animal Clinic,(707) 678-1643,449 N 1st St,Dixon,95620,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:30 AM – 3:00 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Dixon Veterinary Clinic,(707) 678-2377,7925 Pedrick Rd,Dixon,95620,General Practice,"Tuesday: 9:00 AM – 1:00 PM
Tuesday: 2:00 PM – 5:00 PM
Wednesday: 9:00 AM – 1:00 PM
Wednesday: 2:00 PM – 5:00 PM
Thursday: 9:00 AM – 1:00 PM
Friday: 9:00 AM – 1:00 PM
Friday: 2:00 PM – 5:00 PM
Saturday: 9:00 AM – 1:00 PM
Saturday: 2:00 PM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM
Sunday: 2:00 PM – 5:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Mayfair Vet Care,(707) 828-0048,105 E Dorset Dr ste d,Dixon,95620,General Practice,"Monday: 1:00 PM – 8:00 PM
Tuesday: 11:00 AM – 8:00 PM
Saturday: 11:00 AM – 8:00 PM
Sunday: 11:00 AM – 8:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Mill Station Veterinary Services,(707) 344-5763,7768 Sikes Rd,Dixon,95620,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Duarte Azusa Animal Hospital,(626) 357-2251,2714 E Huntington Dr,Duarte,91010,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 1:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,All Creatures Veterinary Hospital,(925) 829-6260,6612 Dublin Blvd,Dublin,94568,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 2:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 2:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $89,EXACT $25,RANGES $40 - $65,RANGES $40 - $65,,,RANGES $40 - $65,RANGES $40 - $65,RANGES $40 - $65,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,EXACT $89,EXACT $89,,,
216,Banfield Pet Hospital,(925) 828-7466,2860 Dublin Blvd,Dublin,94568,General Practice,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:30 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $108.95,No technician Fee,RANGES $40 - $60,RANGES $40 - $60,,,RANGES $40 - $60,RANGES $40 - $60,RANGES $40 - $60,,,STARTING $400 - $600,STARTING $400 - $600,STARTING $700 - $1000,STARTING $700 - $1000,,,,Appointments Only,Appointments Only,,,
217,Dublin Veterinary Hospital,(925) 236-0960,7410 Amador Valley Blvd,Dublin,94568,General Practice,"Monday: 8:00 AM – 6:30 PM
Tuesday: 8:00 AM – 6:30 PM
Wednesday: 8:00 AM – 6:30 PM
Thursday: 8:00 AM – 6:30 PM
Friday: 8:00 AM – 6:30 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $86,EXACT $45,EXACT $36,EXACT $42,,,EXACT $42.50,EXACT $66,EXACT $42,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,No Emergency Visits,EXACT $120,,,
218,Four Paws Veterinary Center,(925) 829-7297,4524 Dublin Blvd,Dublin,94568,General Practice,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",No Answer,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
219,IronHorse VetCare,(925) 400-7672,7660 Amador Valley Blvd E,Dublin,94568,General Practice,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",Called - Refused,,No,,,EMERGENCIES ONLY,,,,,,,,,,,,,,,,,,,,,,,
220,Parkway Veterinary Hospital,(925) 828-0455,6851 Village Pkwy,Dublin,94568,General Practice,"Monday: 7:30 AM – 5:00 PM
Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $82,EXACT $22.5,RANGE $45 - $66,RANGE $45 - $66,,,RANGE $45 - $66,RANGE $45 - $66,RANGE $45 - $66,,,RANGES $800 - $1000,RANGES $800 - $1000, RANGES $1000 - $4000, RANGES $1000 - $4000,,,,Appointments Only,EXACT $95,,,
221,SAGE Veterinary Centers - Dublin,(925) 574-7243,7121 Amador Plaza Rd,Dublin,94568,General Practice,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",Called - Refused,,,,,Emergencies and Specialty only,,,,,,,,,,,,,,,,,,,,,,,
222,Veterinary Dental Specialties and Oral Surgery,(925) 257-2425,7660 Amador Valley Blvd,Dublin,94568,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",Called - Refused,,,,,Specialty Clinic Only,,,,,,,,,,,,,,,,,,,,,,,
223,Durham Veterinary Clinic,(530) 891-5707,9417 Midway,Durham,95938,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Refused,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Abbey Pet Hospital,(510) 233-1003,11070 San Pablo Ave,El Cerrito,94530,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,El Cerrito Pet Hospital,(510) 234-4582,11800 San Pablo Ave,El Cerrito,94530,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $85,No technician Fee,RANGES $25 - $30,RANGES $25 - $30,,,RANGES $25 - $30,RANGES $25 - $30,RANGES $25 - $30,,,STARTING $600,STARTING $500,STARTING $800,STARTING $800,,,,Appointments Only,Appointments Only,,,
226,El Cerrito Veterinary Care,(510) 529-4355,10324 San Pablo Ave,El Cerrito,94530,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $101,No technician Fee,EXACT $39.50,EXACT $39.50,,,EXACT $39.50,EXACT $51,EXACT $39.50,,,STARTING $1000,STARTING $650,STARTING $1500,STARTING $1500,,,,Appointments Only,Appointments Only,,,
227,Urgent Pet,(510) 838-4669,10612 San Pablo Ave,El Cerrito,94530,General Practice,"Monday: 9:00 AM – 11:00 PM
Tuesday: 9:00 AM – 11:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 11:00 PM
Sunday: 9:00 AM – 7:00 PM",Called - Refused,Declined to Share,,,,Emergencies Only,,,,,,,,,,,,,,,,,,,,,,,
228,Insight Veterinary Wellness Center,(916) 618-4700,4509 Golden Foothill Pkwy,El Dorado Hills,95762,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,MarketPlace Veterinary Hospital,(916) 939-1705,4564 Post St,El Dorado Hills,95762,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",Called - Got Prices,,Yes,Yes,,,EXACT $74,No technician Fee,EXACT $37,EXACT $37,,,EXACT $37,EXACT $50,EXACT $37,,,STARTING $600,STARTING $400,STARTING $800,STARTING $800,,,,Appointments Only,Appointments Only,,,
230,Veterinary Healing Center of El Dorado Hills,(916) 933-6030,2222 Francisco Dr #150,El Dorado Hills,95762,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $90,No technician Fee,RANGE $40 - $60 ,RANGE $40 - $60 ,,,RANGE $40 - $60 ,RANGE $40 - $60 ,RANGE $40 - $60 ,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,EXACT $101,EXACT $101,,,
231,Advanced Veterinary Medical Center,(510) 222-7387,3550 San Pablo Dam Rd,El Sobrante,94803,General Practice,"Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:30 AM – 7:00 PM
Sunday: 9:30 AM – 7:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $81,No technician Fee,RANGE $40 - $50 ,RANGE $40 - $50 ,,,RANGE $40 - $50 ,RANGE $40 - $50 ,RANGE $40 - $50 ,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,EXACT $81,,,
232,El Sobrante Veterinary Hospital,(510) 223-0740,401 Valley View Rd,El Sobrante,94803,General Practice,"Monday: 8:30 AM – 6:00 PM
Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 8:30 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $80,No technician Fee,RANGE $30 - $50 ,RANGE $30 - $50 ,,,RANGE $30 - $50 ,RANGE $30 - $50 ,RANGE $30 - $50 ,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,EXACT $80,,,
233,VCA Animal Care Clinic,(510) 222-9966,3340 San Pablo Dam Rd # K,El Sobrante,94803,General Practice,"Monday: 8:00 AM – 7:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed",Voicemail Left,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Abel Pet Clinic,(916) 954-0310,9098 Laguna Main St STE 1,Elk Grove,95758,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACTLY $85,EXACTLY $25,EXACTLY $48,EXACTLY $52,,,EXACTLY $47,EXACTLY $50,EXACTLY $47,,,Starting at $800,Starting at $800,STARTING $800,STARTING $800,,,,EXACTLY $190,EXACTLY $85,,,
235,Animal Care Center,(916) 686-7393,8901 Elk Grove Florin Rd,Elk Grove,95624,General Practice,"Tuesday: 8:30 AM – 5:00 PM
Wednesday: 8:30 AM – 5:00 PM
Thursday: 8:30 AM – 5:00 PM
Friday: 8:30 AM – 5:00 PM
Saturday: 8:30 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $93.5,No technician Fee,RANGES $ 30 - $40,RANGES $ 30 - $40,,,RANGES $ 30 - $40,RANGES $ 30 - $40,RANGES $ 30 - $40,,,STARTING $730,STARTING $700,STARTING $1000,STARTING $1000,,,,Appointments Only,Appointments Only,,,
236,Bruceville Pet Hospital,(916) 690-8914,10044 Bruceville Rd Suite 110-120,Elk Grove,95757,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 8:00 AM – 3:00 PM",No Answer,Call Back Later,,,,,EXACT $98,No technician Fee,RANGES $ 30 - $50,RANGES $ 30 - $50,,,RANGES $ 30 - $50,RANGES $ 30 - $50,RANGES $ 30 - $50,,,STARTING $700,STARTING $670,STARTING $800,STARTING $800,,,,Appointments Only,Appointments Only,,,
237,Country Veterinary Hospital,(916) 686-6460,10473 Aleilani Ln,Elk Grove,95624,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $110,No technician Fee,RANGES $40 - $60,RANGES $40 - $60,,,RANGES $40 - $60,RANGES $40 - $60,RANGES $40 - $60,,,STARTING $1000,STARTING $900,STARTING $1300,STARTING $1300,,,,EXACT $170,EXACT $170,,,
238,Franklin Ranch Pet Hospital and Hotel,(916) 683-4000,10207 Franklin Blvd,Elk Grove,95757,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $85,No technician Fee,EXACT $38,EXACT $46,,,EXACT $46,EXACT $54,EXACT $ 45,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,EXACT $175,,,
239,Grantline Veterinary Hospital,(916) 686-6414,9037 Grant Line Rd,Elk Grove,95624,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",Called - Got Prices,,Yes,Yes,,,EXACT $65,$20,RANGES $31 - $40,RANGES $31 - $40,,,RANGES $31 - $40,RANGES $31 - $40,RANGES $31 - $40,,,STARTING $800,STARTING $700,STARTING $950,STARTING $950,,,,Appointments Only,Appointments Only,,,
240,Hatton Veterinary Hospital,(916) 954-0322,7615 Sheldon Rd,Elk Grove,95758,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",Disconnected,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Kittel Family Veterinary Practice Inc.,(916) 714-5387,8153 Elk Grove Blvd Suite 30,Elk Grove,95758,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Got Prices,Declined to Share,Yes,Yes,,,EXACT $85,No technician Fee,EXACT $35,EXACT $37,,,EXACT $37,EXACT $51,EXACT $37,,,STARTING $450,STARTING $400,STARTING $900,STARTING $900,,,,Appointments Only,Appointments Only,,,
242,Laguna Creek Veterinary Hospital,(916) 684-7300,5060 Laguna Blvd,Elk Grove,95758,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 8:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $80,No technician Fee,RANGES $30 - $50,RANGES $30 - $50,,,RANGES $30 - $50,RANGES $30 - $50,RANGES $30 - $50,,,STARTING $650,STARTING $500,STARTING $700,STARTING $700,,,,Appointments Only,Appointments Only,,,
243,Petlove Veterinary Hospital,(916) 359-9996,9304 Elk Grove Blvd #140,Elk Grove,95624,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 9:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $67,No technician Fee,RANGES $25 - $50,RANGES $25 - $50,,,RANGES $25 - $50,RANGES $25 - $50,RANGES $25 - $50,,,STARTING $650,STARTING $650,STARTING $800,STARTING $800,,,,STARTING $120,STARTING $120,,,
244,Stonelake Animal Hospital,(916) 714-3333,2521 W Taron Ct #150,Elk Grove,95757,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $110,No technician Fee,RANGES $40 - $60,RANGES $40 - $60,,,RANGES $40 - $60,RANGES $40 - $60,RANGES $40 - $60,,,STARTING $700,STARTING $650,STARTING $700,STARTING $700,,,,EXACT $150,EXACT $150,,,
245,VCA Bradshaw Animal Hospital,(916) 685-2494,9609 Bradshaw Rd,Elk Grove,95624,General Practice,"Monday: 7:00 AM – 10:00 PM
Tuesday: 7:00 AM – 10:00 PM
Wednesday: 7:00 AM – 10:00 PM
Thursday: 7:00 AM – 10:00 PM
Friday: 7:00 AM – 10:00 PM
Saturday: 7:00 AM – 10:00 PM
Sunday: 7:00 AM – 10:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $93,No technician Fee,RANGES $55 - $70,RANGES $55 - $70,,,RANGES $55 - $70,RANGES $55 - $70,RANGES $55 - $70,,,STARTING $800,STARTING $600,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
246,VCA Elk Grove Animal Hospital,(916) 685-9589,8640 Elk Grove Blvd,Elk Grove,95624,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 9:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $93,No technician Fee,RANGES $59 - $70,RANGES $59 - $70,,,RANGES $59 - $70,RANGES $59 - $70,RANGES $59 - $70,,,STARTING $800,STARTING $600,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
247,VEG ER for Pets,(916) 500-5731,9141 W Stockton Blvd #100,Elk Grove,95758,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Emeryville Vet Hospital,(510) 338-3473,3997 Emery St,Emeryville,94608,General Practice,"Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $75,No technician Fee,RANGES $30 - $60,RANGES $30 - $60,,,RANGES $30 - $60,RANGES $30 - $60,RANGES $30 - $60,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
249,Empire Veterinary Clinic,(209) 521-7305,5132 Yosemite Blvd,Empire,95319,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $68,No technician Fee,RANGES $25 - $50,RANGES $25 - $50,,,RANGES $25 - $50,RANGES $25 - $50,RANGES $25 - $50,,,STARTING $1000,STARTING $1000,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
250,Pacific Crest Companion Animal,(559) 592-4753,2500 E Myer Ave,Exeter,93221,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $103,EXACT $25,RANGES $46 - $60,RANGES $46 - $60,,,RANGES $46 - $60,RANGES $46 - $60,RANGES $46 - $60,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
251,Fair Oaks Pet Hospital,(916) 436-0507,9722 Fair Oaks Blvd Suite A,Fair Oaks,95628,General Practice,"Tuesday: 8:30 AM – 5:00 PM
Wednesday: 8:30 AM – 5:00 PM
Thursday: 8:30 AM – 5:00 PM
Friday: 8:30 AM – 5:00 PM
Saturday: 8:30 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $93,No technician Fee,RANGES $40 - $50,RANGES $40 - $50,,,RANGES $40 - $50,RANGES $40 - $50,RANGES $40 - $50,,,STARTING $500,STARTING $500,STARTING $700,STARTING $700,,,,Appointments Only,Appointments Only,,,
252,Mercy Pet Hospital,(916) 961-1567,5227 Hazel Ave,Fair Oaks,95628,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $70,No technician Fee,RANGES $50 - $65,RANGES $50 - $65,,,RANGES $50 - $65,RANGES $50 - $65,RANGES $50 - $65,,,STARTING $700,STARTING $500,STARTING $700,STARTING $700,,,,Appointments Only,Appointments Only,,,
253,Old Towne Animal Hospital,(916) 961-8683,10530 Fair Oaks Blvd,Fair Oaks,95628,General Practice,"Monday: 7:30 AM – 6:30 PM
Tuesday: 7:30 AM – 6:30 PM
Wednesday: 7:30 AM – 6:30 PM
Thursday: 7:30 AM – 6:30 PM
Friday: 7:30 AM – 6:30 PM
Saturday: 7:30 AM – 6:30 PM
Sunday: 7:30 AM – 6:30 PM",Called - Got Prices,,Yes,Yes,,,EXACT $67,No technician Fee,RANGES $30 - $55,RANGES $30 - $55,,,RANGES $30 - $55,RANGES $30 - $55,RANGES $30 - $55,,,STARTING $450,STARTING $400,STARTING $800,STARTING $800,,,,Appointments Only,Appointments Only,,,
254,VCA Greenback Animal Hospital,(916) 725-1541,8311 Greenback Ln,Fair Oaks,95628,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $102,No technician Fee,RANGES $50 - $60,RANGES $50 - $60,,,RANGES $50 - $60,RANGES $50 - $60,RANGES $50 - $60,,,STARTING $850,STARTING $850,STARTING $1500,STARTING $1500,,,,Appointments Only,Appointments Only,,,
